prefix	base
rdf	http://www.w3.org/1999/02/22-rdf-syntax-ns#
rdfs	http://www.w3.org/2000/01/rdf-schema#
xsd	http://www.w3.org/2001/XMLSchema#
owl	http://www.w3.org/2002/07/owl#
xml	http://www.w3.org/XML/1998/namespace
dce	http://purl.org/dc/elements/1.1/
dcterms	http://purl.org/dc/terms/
obo	http://purl.obolibrary.org/obo/
BFO	http://purl.obolibrary.org/obo/BFO_
CHEBI	http://purl.obolibrary.org/obo/CHEBI_
DRON	http://purl.obolibrary.org/obo/DRON_
IAO	http://purl.obolibrary.org/obo/IAO_
OBI	http://purl.obolibrary.org/obo/OBI_
PATO	http://purl.obolibrary.org/obo/PATO_
UO	http://purl.obolibrary.org/obo/UO_
